timestamp,score,label,ear,mar,yaw,pitch,eyes_closed,yawning,distracted,blinks,yawns
2026-07-01 10:06:04,99.0,No Face,,,,,,,,0,0
2026-07-01 10:06:05,82.0,No Face,,,,,,,,0,0
2026-07-01 10:06:06,66.0,No Face,,,,,,,,0,0
2026-07-01 10:06:07,57.0,Mild Distraction,0.300,0.068,-21.5,-14.2,0,0,0,0,0
2026-07-01 10:06:08,70.6,Mild Distraction,0.342,0.111,-9.4,-16.8,0,0,0,0,0
2026-07-01 10:06:09,83.4,Concentrating,0.309,0.095,-6.4,-19.7,0,0,0,0,0
2026-07-01 10:06:10,93.0,Concentrating,0.325,0.084,-1.2,-19.9,0,0,0,0,0
2026-07-01 10:06:11,93.3,Distracted,0.317,0.150,13.0,-20.2,0,0,1,0,0
2026-07-01 10:06:12,100.0,Concentrating,0.312,0.064,16.3,-19.0,0,0,0,0,0
2026-07-01 10:06:13,100.0,Concentrating,0.352,0.068,-25.9,-18.8,0,0,1,0,0
2026-07-01 10:06:14,100.0,Concentrating,0.315,0.064,-17.1,-20.1,0,0,1,0,0
2026-07-01 10:06:15,100.0,Concentrating,0.333,0.063,-5.6,-17.4,0,0,0,0,0
2026-07-01 10:06:16,100.0,Concentrating,0.365,0.065,-15.1,-13.5,0,0,0,0,0
2026-07-01 10:06:17,100.0,Concentrating,0.338,0.083,-5.8,-14.2,0,0,0,0,0
2026-07-01 10:06:18,100.0,Concentrating,0.345,0.081,-29.7,-10.9,0,0,1,0,0
2026-07-01 10:06:19,100.0,Concentrating,0.331,0.077,-21.2,-10.7,0,0,0,0,0
2026-07-01 10:06:20,100.0,Concentrating,0.349,0.079,-17.9,-10.6,0,0,0,0,0
2026-07-01 10:06:21,100.0,Concentrating,0.354,0.079,-17.2,-9.9,0,0,0,0,0
2026-07-01 10:06:22,100.0,Concentrating,0.351,0.079,-17.7,-10.9,0,0,0,0,0
2026-07-01 10:06:23,100.0,Concentrating,0.126,0.072,-14.3,-11.7,1,0,0,0,0
2026-07-01 10:06:24,100.0,Concentrating,0.355,0.074,-15.6,-11.6,0,0,0,0,0
2026-07-01 10:06:25,100.0,Concentrating,0.356,0.078,-18.3,-13.2,0,0,0,0,0
2026-07-01 10:06:26,100.0,Concentrating,0.370,0.080,-21.2,-13.4,0,0,0,0,0
2026-07-01 10:06:27,98.6,Distracted,0.368,0.074,-47.2,-20.3,0,0,1,0,0
2026-07-01 10:06:29,86.7,Distracted,0.364,0.078,-46.7,-20.7,0,0,1,0,0
2026-07-01 10:06:30,74.8,Distracted,0.360,0.086,-31.7,-20.5,0,0,1,0,0
2026-07-01 10:06:31,77.6,Concentrating,0.279,0.064,10.2,-19.6,0,0,0,0,0
2026-07-01 10:06:32,86.4,Concentrating,0.267,0.071,-7.3,-12.6,0,0,0,0,0
2026-07-01 10:06:33,99.2,Concentrating,0.320,0.067,-20.1,-12.0,0,0,0,0,0
2026-07-01 10:06:34,100.0,Concentrating,0.373,0.064,-21.4,-15.0,0,0,0,0,0
2026-07-01 10:06:35,100.0,Concentrating,0.341,0.065,-22.0,-17.0,0,0,0,0,0
2026-07-01 10:06:36,100.0,Concentrating,0.294,0.052,31.3,-18.2,0,0,1,0,0
